Sampling type;Flag country;Year;Trip code;Harbour;Number of sets / hauls on trip;Days at sea;Sampling method;Aggregation level;Station number;Duration of fishing operation;Initial latitude;Initial longitude;Final latitude;Final longitude;Depth of fishing operation;Water depth;Catch registration;Species registration;Date;Area;Fishing activity category National;Fishing activity category European lvl 6;Species;Catch category;Weight;Subsample weight;Sex;Maturity method;Maturity Scale;Maturity Stage;Ageing method;Age;Length code;Length class;Number at length;Commercial size category scale;Commercial size category;fish ID;Individual weight
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;24;13;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;M;Macr;Medits scale;2d;;;mm;24;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;24;30;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;25;14;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;25;48;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;26;27;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;26;29;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;27;20;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;27;18;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;28;8;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;28;13;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;29;7;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;29;11;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;30;4;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;30;7;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;31;3;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;31;5;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;32;4;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;32;3;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;33;2;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;34;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;38;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;16;5;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;17;6;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;18;10;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;18;4;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;19;3;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;19;20;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;19;12;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;20;3;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;20;13;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;20;44;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;21;13;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;21;7;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;21;71;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;22;18;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;22;12;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;22;74;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;23;18;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;23;2;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;23;56;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;24;8;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;M;Macr;Medits scale;2d;;;mm;24;1;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;24;27;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;25;6;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;25;11;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2b;;;mm;26;1;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;26;3;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;38080;2720;F;Macr;Medits scale;2e;;;mm;27;1;COUNTRY1;2;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;14;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;14;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;15;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;15;19;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;16;15;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;16;70;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;17;21;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2a;;;mm;17;1;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;17;69;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;18;26;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2a;;;mm;18;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;18;51;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2e;;;mm;18;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;1;;;mm;19;5;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2b;;;mm;19;1;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;19;26;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2e;;;mm;19;23;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2b;;;mm;20;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;M;Macr;Medits scale;2d;;;mm;20;8;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2e;;;mm;20;19;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2b;;;mm;21;2;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2e;;;mm;21;10;COUNTRY1;3;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;5600;1400;F;Macr;Medits scale;2b;;;mm;23;1;COUNTRY1;3;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;15;2;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;16;8;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;17;17;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;18;15;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;19;18;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;F;Macr;Medits scale;2e;;;mm;19;8;COUNTRY1;1;;
S;COUNTRY1;1900;02_18_2017;ITBDS;2;1;Observer;T;999;510;;;;;188;;All;All;21/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;18000;4500;M;Macr;Medits scale;2d;;;mm;20;7;COUNTRY1;1;;
