ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;LANDINGS;DISCARDS;NO_SAMPLES_LANDINGS;NO_LENGTH_MEASUREMENTS_LANDINGS;NO_AGE_MEASUREMENTS_LANDINGS;NO_SAMPLES_DISCARDS;NO_LENGTH_MEASUREMENTS_DISCARDS;NO_AGE_MEASUREMENTS_DISCARDS;NO_SAMPLES_CATCH;NO_LENGTH_MEASUREMENTS_CATCH;NO_AGE_MEASUREMENTS_CATCH;MIN_AGE;MAX_AGE;AGE_0;AGE_0_NO_LANDED;AGE_0_MEAN_WEIGHT_LANDED;AGE_0_MEAN_LENGTH_LANDED;AGE_0_NO_DISCARD;AGE_0_MEAN_WEIGHT_DISCARD;AGE_0_MEAN_LENGTH_DISCARD;AGE_1;AGE_1_NO_LANDED;AGE_1_MEAN_WEIGHT_LANDED;AGE_1_MEAN_LENGTH_LANDED;AGE_1_NO_DISCARD;AGE_1_MEAN_WEIGHT_DISCARD;AGE_1_MEAN_LENGTH_DISCARD;AGE_2;AGE_2_NO_LANDED;AGE_2_MEAN_WEIGHT_LANDED;AGE_2_MEAN_LENGTH_LANDED;AGE_2_NO_DISCARD;AGE_2_MEAN_WEIGHT_DISCARD;AGE_2_MEAN_LENGTH_DISCARD;AGE_3;AGE_3_NO_LANDED;AGE_3_MEAN_WEIGHT_LANDED;AGE_3_MEAN_LENGTH_LANDED;AGE_3_NO_DISCARD;AGE_3_MEAN_WEIGHT_DISCARD;AGE_3_MEAN_LENGTH_DISCARD;AGE_4;AGE_4_NO_LANDED;AGE_4_MEAN_WEIGHT_LANDED;AGE_4_MEAN_LENGTH_LANDED;AGE_4_NO_DISCARD;AGE_4_MEAN_WEIGHT_DISCARD;AGE_4_MEAN_LENGTH_DISCARD;AGE_5;AGE_5_NO_LANDED;AGE_5_MEAN_WEIGHT_LANDED;AGE_5_MEAN_LENGTH_LANDED;AGE_5_NO_DISCARD;AGE_5_MEAN_WEIGHT_DISCARD;AGE_5_MEAN_LENGTH_DISCARD;AGE_6;AGE_6_NO_LANDED;AGE_6_MEAN_WEIGHT_LANDED;AGE_6_MEAN_LENGTH_LANDED;AGE_6_NO_DISCARD;AGE_6_MEAN_WEIGHT_DISCARD;AGE_6_MEAN_LENGTH_DISCARD;AGE_7;AGE_7_NO_LANDED;AGE_7_MEAN_WEIGHT_LANDED;AGE_7_MEAN_LENGTH_LANDED;AGE_7_NO_DISCARD;AGE_7_MEAN_WEIGHT_DISCARD;AGE_7_MEAN_LENGTH_DISCARD;AGE_8;AGE_8_NO_LANDED;AGE_8_MEAN_WEIGHT_LANDED;AGE_8_MEAN_LENGTH_LANDED;AGE_8_NO_DISCARD;AGE_8_MEAN_WEIGHT_DISCARD;AGE_8_MEAN_LENGTH_DISCARD;AGE_9;AGE_9_NO_LANDED;AGE_9_MEAN_WEIGHT_LANDED;AGE_9_MEAN_LENGTH_LANDED;AGE_9_NO_DISCARD;AGE_9_MEAN_WEIGHT_DISCARD;AGE_9_MEAN_LENGTH_DISCARD;AGE_10;AGE_10_NO_LANDED;AGE_10_MEAN_WEIGHT_LANDED;AGE_10_MEAN_LENGTH_LANDED;AGE_10_NO_DISCARD;AGE_10_MEAN_WEIGHT_DISCARD;AGE_10_MEAN_LENGTH_DISCARD;AGE_11;AGE_11_NO_LANDED;AGE_11_MEAN_WEIGHT_LANDED;AGE_11_MEAN_LENGTH_LANDED;AGE_11_NO_DISCARD;AGE_11_MEAN_WEIGHT_DISCARD;AGE_11_MEAN_LENGTH_DISCARD;AGE_12;AGE_12_NO_LANDED;AGE_12_MEAN_WEIGHT_LANDED;AGE_12_MEAN_LENGTH_LANDED;AGE_12_NO_DISCARD;AGE_12_MEAN_WEIGHT_DISCARD;AGE_12_MEAN_LENGTH_DISCARD;AGE_13;AGE_13_NO_LANDED;AGE_13_MEAN_WEIGHT_LANDED;AGE_13_MEAN_LENGTH_LANDED;AGE_13_NO_DISCARD;AGE_13_MEAN_WEIGHT_DISCARD;AGE_13_MEAN_LENGTH_DISCARD;AGE_14;AGE_14_NO_LANDED;AGE_14_MEAN_WEIGHT_LANDED;AGE_14_MEAN_LENGTH_LANDED;AGE_14_NO_DISCARD;AGE_14_MEAN_WEIGHT_DISCARD;AGE_14_MEAN_LENGTH_DISCARD;AGE_15;AGE_15_NO_LANDED;AGE_15_MEAN_WEIGHT_LANDED;AGE_15_MEAN_LENGTH_LANDED;AGE_15_NO_DISCARD;AGE_15_MEAN_WEIGHT_DISCARD;AGE_15_MEAN_LENGTH_DISCARD;AGE_16;AGE_16_NO_LANDED;AGE_16_MEAN_WEIGHT_LANDED;AGE_16_MEAN_LENGTH_LANDED;AGE_16_NO_DISCARD;AGE_16_MEAN_WEIGHT_DISCARD;AGE_16_MEAN_LENGTH_DISCARD;AGE_17;AGE_17_NO_LANDED;AGE_17_MEAN_WEIGHT_LANDED;AGE_17_MEAN_LENGTH_LANDED;AGE_17_NO_DISCARD;AGE_17_MEAN_WEIGHT_DISCARD;AGE_17_MEAN_LENGTH_DISCARD;AGE_18;AGE_18_NO_LANDED;AGE_18_MEAN_WEIGHT_LANDED;AGE_18_MEAN_LENGTH_LANDED;AGE_18_NO_DISCARD;AGE_18_MEAN_WEIGHT_DISCARD;AGE_18_MEAN_LENGTH_DISCARD;AGE_19;AGE_19_NO_LANDED;AGE_19_MEAN_WEIGHT_LANDED;AGE_19_MEAN_LENGTH_LANDED;AGE_19_NO_DISCARD;AGE_19_MEAN_WEIGHT_DISCARD;AGE_19_MEAN_LENGTH_DISCARD;AGE_20_PLUS;AGE_20_PLUS_NO_LANDED;AGE_20_PLUS_MEAN_WEIGHT_LANDED;AGE_20_PLUS_MEAN_LENGTH_LANDED;AGE_20_PLUS_NO_DISCARD;AGE_20_PLUS_MEAN_WEIGHT_DISCARD;AGE_20_PLUS_MEAN_LENGTH_DISCARD;SOMMA_NUMERI_LANDING;SOMMA_NUMERI_DISCARD
COUNTRY199992-1GTR16D20DEMSPSA 99;COUNTRY1;9999;2;-1;GTR;16D20;DEMSP;SA 99;DIS-DEROG;HKE;57.015794;-1;8;0;-1;4;-1;-1;12;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199991-1LLD-1LPFSA 99;COUNTRY1;9999;1;-1;LLD;-1;LPF;SA 99;DIS-DEROG;HKE;8.394243;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199992-1LLD-1LPFSA 99;COUNTRY1;9999;2;-1;LLD;-1;LPF;SA 99;DIS-DEROG;HKE;3.243405;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199991VL1218LLS-1DEMFSA 99;COUNTRY1;9999;1;VL1218;LLS;-1;DEMF;SA 99;DIS-DEROG;HKE;51.518093;-1;5;127;112;0;-1;-1;5;127;112;2;11;0;0;0;0;-1;-1;-1;1;0;0;0;-1;-1;-1;2;2.36;0.202;30.9;-1;-1;-1;3;13.901;0.373;37.3;-1;-1;-1;4;10.305;0.585;42.7;-1;-1;-1;5;8.999;1.022;51;-1;-1;-1;6;6.102;1.431;56.6;-1;-1;-1;7;2.318;1.881;61.5;-1;-1;-1;8;2.388;2.411;66.4;-1;-1;-1;9;0.766;2.932;70.5;-1;-1;-1;10;1.15;3.46;74.2;-1;-1;-1;11;0.383;4.162;78.5;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;48.672;NA
COUNTRY199992VL1218LLS-1DEMFSA 99;COUNTRY1;9999;2;VL1218;LLS;-1;DEMF;SA 99;DIS-DEROG;HKE;48.615281;-1;4;132;100;2;-1;-1;6;132;100;3;12;0;0;0;0;-1;-1;-1;1;0;0;0;-1;-1;-1;2;0;0;0;-1;-1;-1;3;3.236;0.431;39.2;-1;-1;-1;4;9.169;0.6;43.1;-1;-1;-1;5;13.052;0.839;47.7;-1;-1;-1;6;5.447;1.151;52.6;-1;-1;-1;7;3.445;1.79;60.5;-1;-1;-1;8;3.197;2.416;66.5;-1;-1;-1;9;1.009;2.873;70.1;-1;-1;-1;10;0.095;3.478;74.2;-1;-1;-1;11;0.557;4.053;77.8;-1;-1;-1;12;0.299;4.52;80.5;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;39.506;NA
COUNTRY199991-1OTM20D40MDPSPSA 99;COUNTRY1;9999;1;-1;OTM;20D40;MDPSP;SA 99;DIS-DEROG;HKE;0.410949;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199992-1OTM20D40MDPSPSA 99;COUNTRY1;9999;2;-1;OTM;20D40;MDPSP;SA 99;DIS-DEROG;HKE;0.40843;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199991-1PS14D16SPFSA 99;COUNTRY1;9999;1;-1;PS;14D16;SPF;SA 99;DIS-DEROG;HKE;2.194126;-1;3;0;-1;1;-1;-1;4;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199991-1OTB50D100DEMSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;DEMSP;SA 99;-1;MUT;50.522868;0;0;217;114;3;21;8;3;238;122;0;7;0;5.206;0.009;9.2;0;0;0;1;280.943;0.019;11.5;0;0;0;2;357.664;0.042;15;0;0;0;3;209.257;0.079;18.4;0;0;0;4;71.146;0.114;20.8;0;0;0;5;8.735;0.142;22.4;0;0;0;6;0;0;0;0;0;0;7;7.554;0.21;25.5;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;940.505;0
COUNTRY199992-1OTB50D100DEMSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;DEMSP;SA 99;-1;MUT;37.855565;0;2;1065;126;2;0;-1;4;1065;126;0;5;0;1.132;0.01;9.5;-1;-1;-1;1;915.755;0.022;12.1;-1;-1;-1;2;282.087;0.04;14.8;-1;-1;-1;3;70.689;0.063;17.2;-1;-1;-1;4;8.641;0.078;18.6;-1;-1;-1;5;0.862;0.144;22.5;-1;-1;-1;6;0;0;0;-1;-1;-1;7;0;0;0;-1;-1;-1;8;0;0;0;-1;-1;-1;9;0;0;0;-1;-1;-1;10;0;0;0;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;1279.166;NA
COUNTRY199991-1OTB50D100DWSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;DWSP;SA 99;-1;MUT;0.587191;-1;1;0;-1;2;0;-1;3;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199992-1OTB50D100DWSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;DWSP;SA 99;-1;MUT;0.65461;-1;1;5;5;2;0;-1;3;5;5;-1;-1;0;0;0;0;-1;-1;-1;1;0;0;0;-1;-1;-1;2;0;0;0;-1;-1;-1;3;0;0;0;-1;-1;-1;4;0;0;0;-1;-1;-1;5;0;0;0;-1;-1;-1;6;0;0;0;-1;-1;-1;7;0;0;0;-1;-1;-1;8;0;0;0;-1;-1;-1;9;0;0;0;-1;-1;-1;10;0;0;0;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;0;NA
COUNTRY199991-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;MDDWSP;SA 99;-1;MUT;15.163566;0.271773805;1;487;84;2;42;19;3;529;103;0;4;0;1.07;0.01;9.3;17.567;0.009;8.9;1;94.834;0.021;11.9;11.058;0.013;10.2;2;177.983;0.043;15;0;0;0;3;59.949;0.066;17.4;0;0;0;4;9.006;0.105;20.2;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;342.842;28.625
COUNTRY199992-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;MDDWSP;SA 99;-1;MUT;26.032886;0;1;391;20;1;0;-1;2;391;20;1;6;0;0;0;0;-1;-1;-1;1;182.912;0.021;12;-1;-1;-1;2;256.927;0.038;14.6;-1;-1;-1;3;105.705;0.064;17.2;-1;-1;-1;4;23.173;0.113;20.8;-1;-1;-1;5;6.375;0.153;23;-1;-1;-1;6;4.897;0.175;24;-1;-1;-1;7;0;0;0;-1;-1;-1;8;0;0;0;-1;-1;-1;9;0;0;0;-1;-1;-1;10;0;0;0;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;579.989;NA
COUNTRY199991-1GNS16D20DEMFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;DEMF;SA 99;DIS-DEROG;MUT;0.454179;-1;11;0;-1;3;-1;-1;14;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY19999-1-1GTR16D20DEMSPSA 99;COUNTRY1;9999;-1;-1;GTR;16D20;DEMSP;SA 99;DIS-DEROG;MUT;15.514532;-1;16;243;41;6;-1;-1;22;243;41;1;8;0;0;0;0;-1;-1;-1;1;140.717;0.021;11.9;-1;-1;-1;2;130.002;0.041;14.9;-1;-1;-1;3;48.526;0.066;17.5;-1;-1;-1;4;15.939;0.115;20.9;-1;-1;-1;5;3.619;0.138;22.2;-1;-1;-1;6;0.821;0.2;25;-1;-1;-1;7;2.868;0.215;25.5;-1;-1;-1;8;0.546;0.227;26;-1;-1;-1;9;0;0;0;-1;-1;-1;10;0;0;0;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;343.038;NA
COUNTRY199991-1OTM20D40MDPSPSA 99;COUNTRY1;9999;1;-1;OTM;20D40;MDPSP;SA 99;DIS-DEROG;MUT;0.108768;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
